,Community_Area_Number,COMMUNITY_AREA_NAME,HOUSING_CROWDED,HH_BELOW_POVERTY,UNEMPLOYED16+,NO_HIGHSCHOOLDIPLOMA25+,INCOMEPC,HARDSHIP_INDEX,ACT_GRADE11,Teen_Births_2009,MORTALITY_RATE0509,LifeExpectancy,HOMICIDE,BelowPovertyLevel,NoHighSchoolDiploma,Unemployment,Population
0,1,Rogers Park,7.7,23.6,8.7,18.2,23939,39,30,75,6.4,77.3,7.7,22.7,18.1,7.5,54991
1,2,West Ridge,7.8,17.2,8.8,20.8,23040,46,26,65,5.1,80.3,5.8,15.1,19.6,7.9,71942
2,3,Uptown,3.8,24,8.9,11.8,35787,20,19,32,6.5,76,5.4,22.7,13.6,7.7,56362
3,4,Lincoln Square,3.4,10.9,8.2,13.4,37524,17,20,28,3.8,80.5,5,9.5,12.5,6.8,39493
4,5,North Center,0.3,7.5,5.2,4.5,57123,6,63,3,2.7,81.5,1,7.1,5.4,4.5,31867
5,6,Lake View,1.1,11.4,4.7,2.6,60058,5,34,12,2.2,81.9,1.4,10.5,2.9,4.7,94368
6,7,Lincoln Park,0.8,12.3,5.1,3.6,71551,2,77,4,2.4,81.3,0.7,11.8,4.3,4.5,64116
7,8,Near North Side,1.9,12.9,7,2.5,88669,1,99,30,6.5,85.2,3.7,13.4,3.4,5.2,80484
8,9,Edison Park,1.1,3.3,6.5,7.4,40959,8,,1,4.6,81,0,5.1,8.5,7.4,11187
9,10,Norwood Park,2,5.4,9,11.5,32875,21,42,3,4.4,80.9,4.7,5.9,13.5,7.3,37023
10,11,Jefferson Park,2.7,8.6,12.4,13.4,27751,25,,19,8.3,79.7,4.8,6.4,13.5,9,25448
11,12,Forest Glen,1.1,7.5,6.8,4.9,44164,11,,3,3.8,83.4,3.3,6.1,6.3,5.5,18508
12,13,North Park,3.9,13.2,9.9,14.4,26576,33,66,6,5.4,84.4,3,12.4,18.2,7.5,17931
13,14,Albany Park,11.3,19.2,10,32.9,21323,53,15,75,4.9,80.6,4.7,17.1,34.9,9,51542
14,15,Portage Park,4.1,11.6,12.6,19.3,24336,35,10,81,4.7,80.3,3.3,12.3,18.7,10.6,64124
15,16,Irving Park,6.3,13.1,10,22.4,27249,34,12,56,5.3,79.6,4.1,10.8,22,10.3,53359
16,17,Dunning,5.2,10.6,10,16.2,26282,28,34,23,4.9,79.8,3.7,8.3,18,8.6,41932
17,18,Montclaire,8.1,15.3,13.8,23.5,22014,50,,26,4.6,79.6,8.6,12.8,28.4,10.8,13426
18,19,Belmont Cragin,10.8,18.7,14.6,37.3,15461,70,27,208,5.6,79.5,7,18.6,37,11.5,78743
19,20,Hermosa,6.9,20.5,13.1,41.6,15089,71,38,73,9.3,80.5,12.7,19.1,41.9,12.9,25010
20,21,Avondale,6,15.3,9.2,24.7,20039,42,12,79,5.7,79.8,4.7,14.6,25.7,9.3,39262
21,22,Logan Square,3.2,16.8,8.2,14.8,31908,23,,132,4.3,80.3,8.6,17.2,18.5,7.5,72791
22,23,Humboldt park,14.8,33.9,17.3,35.4,13781,85,21,202,9.8,74.5,29,32.6,36.8,12.3,56323
23,24,West Town,2.3,14.7,6.6,12.9,43198,10,27,79,5.1,79.5,8.5,15.7,13.4,6,82236
24,25,Austin,6.3,28.6,22.6,24.4,15957,73,6,368,13.3,71.9,34.4,27,25,21,98514
25,26,West Garfield Park,9.4,41.7,25.8,24.5,10934,92,,107,19,68.8,40,40.3,26.2,25.2,18001
26,27,East Garfield Park,8.2,42.4,19.6,21.3,12961,83,6,93,11,71.7,38.4,39.7,26.2,16.4,20567
27,28,Near West Side,3.8,20.6,10.7,9.6,44689,15,33,65,9.1,78.9,12.7,21.6,11.2,10.7,54881
28,29,North Lawndale,7.4,43.1,21.2,27.6,12034,87,10,198,14.1,72.1,46.7,38.6,30.4,18.5,35912
29,30,South Lawndale,15.2,30.7,15.8,54.8,10402,96,20,231,5.9,82.2,11.1,28.1,58.7,11.5,79288
30,31,Lower West Side,9.6,25.8,15.8,40.7,16444,76,15,62,5.4,81.4,11.7,27.2,44.3,13,35769
31,32,Loop,1.5,14.7,5.7,3.1,65526,3,83,2,5.7,85,0.7,11.1,3.4,4.2,29283
32,33,Near South Side,1.3,13.8,4.9,7.4,59077,7,38,11,4.8,80.6,4.8,11.1,7.1,5.7,21390
33,34,Armour Square,5.7,40.1,16.7,34.5,16148,82,34,6,1.5,81.9,1.8,35.8,37.5,11.6,13391
34,35,Douglas,1.8,29.6,18.2,14.3,23791,47,19,21,13.4,74.1,13.6,26.1,16.9,16.7,18238
35,36,Oakland,1.3,39.7,28.7,18.4,19252,78,,14,8.2,73.6,18.9,38.1,17.6,26.6,5918
36,37,Fuller Park,3.2,51.2,33.9,26.6,10432,97,7,9,22.6,69.8,49.6,55.5,33.7,40,2876
37,38,Grand Boulevard,3.3,29.3,24.3,15.9,23472,57,16,50,12.1,74.1,32.1,28.3,19.4,20.6,21929
38,39,Kenwood,2.4,21.7,15.7,11.3,35911,26,39,12,8.9,80.5,15.2,23.1,10.8,11,17841
39,40,Washington Park,5.6,42.1,28.6,25.4,13785,88,11,55,19.3,68.9,44.6,39.1,28.3,23.2,11717
40,41,Hyde Park,1.5,18.4,8.4,4.3,39056,14,,7,10.4,82.3,5.8,18.2,5.3,6.9,25681
