,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PER CAPITA INCOME ,HARDSHIP INDEX,Grade ACT Attainment Percentile Grade 11,Teen Births 2009,Community Area_x,Average Infant Mortality Rate 2005 - 2009,2010 Life Expectancy,Community Area_y,Assault (Homicide),Below Poverty Level,Per Capita Income,No High School Diploma,Unemployment
0,1,Rogers Park,7.7,23.6,8.7,18.2,23939,39.0,29.5,75,1,6.4,77.3,1,7.7,22.7,23714,18.1,7.5
1,2,West Ridge,7.8,17.2,8.8,20.8,23040,46.0,26.0,65,2,5.1,80.3,2,5.8,15.1,21375,19.6,7.9
2,3,Uptown,3.8,24.0,8.9,11.8,35787,20.0,19.0,32,3,6.5,76.0,3,5.4,22.7,32355,13.6,7.7
3,4,Lincoln Square,3.4,10.9,8.2,13.4,37524,17.0,20.0,28,4,3.8,80.5,4,5.0,9.5,35503,12.5,6.8
4,5,North Center,0.3,7.5,5.2,4.5,57123,6.0,63.333333333333336,3,5,2.7,81.5,5,1.0,7.1,51615,5.4,4.5
5,6,Lake View,1.1,11.4,4.7,2.6,60058,5.0,34.0,12,6,2.2,81.9,6,1.4,10.5,58227,2.9,4.7
6,7,Lincoln Park,0.8,12.3,5.1,3.6,71551,2.0,77.0,4,7,2.4,81.3,7,0.7,11.8,71403,4.3,4.5
7,8,Near North Side,1.9,12.9,7.0,2.5,88669,1.0,99.0,30,8,6.5,85.2,8,3.7,13.4,87163,3.4,5.2
8,9,Edison Park,1.1,3.3,6.5,7.4,40959,8.0,,1,9,4.6,81.0,9,0.0,5.1,38337,8.5,7.4
9,10,Norwood Park,2.0,5.4,9.0,11.5,32875,21.0,42.0,3,10,4.4,80.9,10,4.7,5.9,31659,13.5,7.3
10,11,Jefferson Park,2.7,8.6,12.4,13.4,27751,25.0,,19,11,8.3,79.7,11,4.8,6.4,27280,13.5,9.0
